gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Pald1,902.7719752802531,-0.7146277038701745,0.17327063930279776,2.1161561099711086e-5,1.6298153314125765e-4
Palld,3017.511255855392,-2.1230784546485686,0.2918330729682938,3.102513353797763e-14,2.8157563085636094e-12
Palm,595.2335284039989,-1.092315742190803,0.3611174288921288,6.819848555302173e-4,0.0032858057031612425
Palm2,50.05673902796099,0.05940277310958126,0.42982487522882834,0.8696496748778532,0.9165784835864196
Palmd,789.7153868750802,0.5203624878469213,0.45494451213726356,0.1677469432342647,0.29002315606935375
Pam,2312.796449970915,-0.506472716785784,0.29519587003064424,0.061314509263354314,0.13520494563938945
Pamr1,115.58346692759295,-1.9363412144805197,0.5881125370974546,8.369851582717325e-5,5.449072171877494e-4
Pan2,730.3967942855476,0.5067066519734793,0.11070262633245695,3.6934835004327654e-6,3.526835052901927e-5
Pan3,1474.9988335935668,0.14386023187816913,0.19582044799997708,0.45293649496216287,0.5953708759192979
Pank1,285.32291598706996,0.26026107791490566,0.31812410173840683,0.37073222726112326,0.5185056297198744
Pank2,901.7506266093725,-0.35273512524197836,0.13560905267063902,0.0077716655897450224,0.0251816284474037
Pank3,1268.352138206256,0.29051347951481193,0.26523468040563186,0.24353506673135017,0.3834470268338845
Pank4,425.09476480273565,0.31502214302201914,0.15646972262747574,0.03983064362913267,0.09621884999011411
Panx1,281.9148678836683,-1.7782369319952365,0.30153876310766126,4.6443645033977587e-10,1.4029969824988077e-8
Paox,31.498851012708155,0.9426144258346606,0.40523221179192603,0.00796443387562153,0.025715981903974044
Papd4,173.74257837145223,-0.3187234448195896,0.2122521370006079,0.11669533295013461,0.22265867454654978
Papd5,611.5297179366728,0.25036685413830606,0.26810136943808727,0.3185942868969809,0.46606009170550616
Papd7,627.0272437687066,0.013763941920233143,0.22146161293523348,0.9497309622799294,0.968330967289537
Papln,2439.479222892667,3.191995549208714,0.6980016616271023,5.206141506227735e-7,6.299412779397853e-6
Papola,2967.455733828506,-0.23777725179193432,0.2034166401956326,0.22407519745635457,0.3602567279957847
Papolb,30.270133839938023,0.22709139919380397,0.34105038384065606,0.4592621516673003,0.6004797755734961
Papolg,244.0076411257567,0.03349274842966859,0.20401869064414668,0.867876644702324,0.9154585285973195
Pappa,114.76891436361927,-2.8422095296778833,0.8640691482144137,3.849013517774928e-5,2.7467452987715575e-4
Papss1,5200.476604310015,1.5035430944073496,0.279765589859577,1.8238826597125183e-8,3.4612287404543016e-7
