genes	PT_Myc_PTEN_MGT_b1_TPM	PT_Myc_PTEN_MGT_b2_TPM	PT_Myc_PTEN_MGT_b3_TPM	PT_Myc_PTEN_MGT_b4_TPM	PT_Myc_PTEN_MGT_b5_TPM	PT_Myc_PTEN_MGT_b6_TPM	PT_Myc_PTEN_MGT_b7_TPM	PT_Myc_PTEN_MGT_b8_TPM	PT_Myc_PTEN_MGT_b9_TPM	PT_Myc_PTEN_MGT_b10_TPM	PT_Myc_PTEN_MGT_b11_TPM	PT_Myc_PTEN_MGT_b12_TPM	PT_Myc_PTEN_MGT_b13_TPM
Arhgap15	3.319535132	4.017290418	1.953659204	3.982294718	3.93417341	1.709615046	2.059961355	1.881145467	0	1.988431307	2.029043732	1.89067011	4.001288415
Arhgap15os	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap17	14.9379081	26.11238772	23.44391044	23.89376831	21.63795376	11.96730532	16.47969084	18.81145467	10.22135065	25.84960699	30.43565598	22.68804132	18.00579787
Arhgap18	16.59767566	40.17290418	31.25854726	25.88491566	21.63795376	22.2249956	30.89942033	20.69260014	13.14173655	19.88431307	38.55183091	24.57871143	22.00708628
Arhgap19	9.958605397	20.08645209	15.62927363	17.92032623	13.76960694	8.54807523	37.07930439	18.81145467	7.300964749	17.89588176	22.31948105	11.34402066	10.00322104
Arhgap20	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap20os	1.659767566	0	1.953659204	1.991147359	0	1.709615046	4.11992271	1.881145467	2.9203859	1.988431307	2.029043732	1.89067011	0
Arhgap21	23.23674593	42.18154939	29.30488806	39.82294718	29.50630058	29.06345578	70.03868607	45.14749121	21.90289425	33.80333221	38.55183091	54.8294332	50.01610519
Arhgap22	4.979302698	24.10374251	33.21220646	19.91147359	11.80252023	10.25769028	10.29980678	15.04916374	4.38057885	19.88431307	190.7301108	3.78134022	10.00322104
Arhgap23	11.61837296	36.15561376	35.16586567	27.87606302	27.53921387	10.25769028	12.35976813	13.16801827	11.6815436	33.80333221	24.34852478	11.34402066	14.00450945
Arhgap24	8.298837831	8.034580836	9.768296018	5.973442077	15.73669364	6.838460184	4.11992271	1.881145467	1.46019295	7.953725227	18.26139359	1.89067011	2.000644207
Arhgap25	6.639070265	14.06051646	11.72195522	7.964589435	15.73669364	3.419230092	4.11992271	1.881145467	1.46019295	13.91901915	10.14521866	1.89067011	2.000644207
Arhgap26	3.319535132	4.017290418	5.860977611	3.982294718	1.967086705	1.709615046	4.11992271	3.762290934	1.46019295	3.976862613	4.058087464	3.78134022	4.001288415
Arhgap27	19.91721079	34.14696855	31.25854726	31.85835774	23.60504046	11.96730532	16.47969084	24.45489107	8.761157699	37.78019483	6.087131196	11.34402066	30.00966311
Arhgap27os3	0	2.008645209	1.953659204	1.991147359	0	0	0	0	0	1.988431307	0	0	0
Arhgap28	4.979302698	4.017290418	7.814636815	7.964589435	7.868346821	8.54807523	8.23984542	5.643436401	1.46019295	5.96529392	16.23234986	5.672010331	8.00257683
Arhgap29	14.9379081	42.18154939	29.30488806	19.91147359	31.47338728	39.32114606	78.27853149	75.24581868	29.203859	23.86117568	36.52278718	58.61077342	112.0360756
Arhgap30	9.958605397	28.12103293	29.30488806	25.88491566	21.63795376	5.128845138	8.23984542	5.643436401	2.9203859	29.8264696	24.34852478	3.78134022	10.00322104
Arhgap31	11.61837296	28.12103293	21.49025124	23.89376831	29.50630058	37.61153101	92.69826098	60.19665495	61.3281039	25.84960699	60.87131196	30.25072176	50.01610519
Arhgap32	6.639070265	10.04322604	9.768296018	9.955736794	11.80252023	6.838460184	16.47969084	7.524581868	2.9203859	9.942156533	10.14521866	11.34402066	14.00450945
Arhgap33	3.319535132	2.008645209	1.953659204	3.982294718	3.93417341	1.709615046	6.179884065	9.405727335	2.9203859	5.96529392	4.058087464	3.78134022	2.000644207
Arhgap33os	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap35	19.91721079	40.17290418	33.21220646	37.83179982	31.47338728	23.93461064	57.67891794	41.38520028	26.2834731	39.76862613	40.58087464	43.48541253	54.0173936
Arhgap36	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap39	6.639070265	10.04322604	7.814636815	9.955736794	9.835433526	8.54807523	24.71953626	15.04916374	8.761157699	11.93058784	14.20330612	17.01603099	16.00515366
Arhgap4	9.958605397	12.05187125	15.62927363	13.93803151	9.835433526	5.128845138	8.23984542	7.524581868	7.300964749	19.88431307	12.17426239	7.562680441	6.001932622
Arhgap40	1.659767566	4.017290418	3.907318407	3.982294718	3.93417341	0	0	1.881145467	0	1.988431307	0	1.89067011	0
Arhgap42	19.91721079	16.06916167	21.49025124	27.87606302	29.50630058	13.67692037	16.47969084	9.405727335	4.38057885	25.84960699	24.34852478	9.453350551	14.00450945
Arhgap44	16.59767566	2.008645209	7.814636815	7.964589435	7.868346821	8.54807523	16.47969084	15.04916374	21.90289425	7.953725227	0	17.01603099	14.00450945
Arhgap5	3.319535132	36.15561376	21.49025124	23.89376831	21.63795376	10.25769028	43.25918846	16.9303092	2.9203859	15.90745045	24.34852478	32.14139187	44.01417256
Arhgap6	3.319535132	4.017290418	3.907318407	3.982294718	5.901260116	3.419230092	2.059961355	1.881145467	0	3.976862613	4.058087464	0	6.001932622
Arhgap8	29.87581619	8.034580836	13.67561443	21.90262095	15.73669364	52.99806643	70.03868607	69.60238228	103.6736994	19.88431307	2.029043732	71.84546419	50.01610519
Arhgap9	14.9379081	22.0950973	39.07318407	25.88491566	23.60504046	13.67692037	6.179884065	7.524581868	20.4427013	27.83803829	12.17426239	3.78134022	4.001288415
Arhgdia	371.7879348	451.945172	449.3416168	455.9727452	418.9894682	352.1806995	374.9129666	458.999494	439.5180779	548.8070406	744.6590496	323.3045888	376.121111
Arhgdib	170.9560593	200.8645209	232.4854452	173.2298202	208.5111908	109.4153629	51.49903388	41.38520028	48.18636735	165.0397985	298.2694286	26.46938154	36.01159573
